TYPES bold target_disappears target_dis_nearer target_dis_any
AXIS dynamism planning_cost effectiveness

% --- TILEWORLD SETTINGS:
% worldSize = 20
% holeGestationTimeMin = 60
% holeGestationTimeMin = 240
% holeLifeExpMin = 240
% holeLifeExpMax = 960
% initialNrHoles = 4
% wallSizeMin = 2
% wallSizeMax = 4
% initialNrWalls = 10

% --- RESULTS:
% dynamism, planning cost, type, effectiveness

16,3,1,0.5907028222562076
16,3,2,0.5974170945942192
16,3,3,0.3901180656588645
16,4,0,0.5038750966100444
16,4,1,0.5483343191921423
16,4,2,0.5289204142802516
16,4,3,0.303999057315629
16,5,0,0.44602114816603516
16,5,1,0.5181050865347341
16,5,2,0.48777948053832954
16,5,3,0.23402513505450467
20,1,0,0.5164774432167826
20,1,1,0.566629127240435
20,1,2,0.5570710378427808
20,1,3,0.485394649225048
20,2,0,0.47851594901957906
20,2,1,0.5102268246343391
20,2,2,0.5247806859713187
20,2,3,0.3466786865408837
20,3,0,0.4224863774926106
20,3,1,0.46208267744888737
20,3,2,0.45716312734094966
20,3,3,0.26127757613014807
20,4,0,0.37943375619298825
20,4,1,0.4307646127143993
20,4,2,0.42864396391006376
20,4,3,0.15231187547267883
20,5,0,0.3530627167668327
20,5,1,0.400595134064364
20,5,2,0.3630770906595976
20,5,3,0.09524374136840758
26,1,0,0.36610160449352
26,1,1,0.41632797332085264
26,1,2,0.4431870001086666
26,1,3,0.3134718594390772
26,2,0,0.31854219107889353
26,2,1,0.3741965848295955
26,2,2,0.3885396997147111
26,2,3,0.21598815948363456
26,3,0,0.31063999352128063
26,3,1,0.33701409613981664
26,3,2,0.34316026136839184
26,3,3,0.11653156039495079
26,4,0,0.2647312113560489
26,4,1,0.32175148444343243
26,4,2,0.304922035034803
26,4,3,0.05446872725347562
26,5,0,0.23262614518526287
26,5,1,0.26907510189853184
26,5,2,0.2699728045841954
26,5,3,0.012474188830348796
32,1,0,0.2681369502806964
32,1,1,0.35159716771648303
32,1,2,0.36249020720754316
32,1,3,0.19715538784773295
32,2,0,0.21447815290981867
32,2,1,0.2888358744969989
32,2,2,0.2961926620976456
32,2,3,0.11697178662257127
32,3,0,0.21842440776598843
32,3,1,0.2577484701459802
32,3,2,0.2777670333264787
32,3,3,0.051855729582867334
32,4,0,0.177066902539769
32,4,1,0.23522233413002447
32,4,2,0.23278954992974732
32,4,3,0.009865128890157494
32,5,0,0.14583477972802864
32,5,1,0.20121264316193826
32,5,2,0.1991844430389699
32,5,3,0.001092672266612033
40,1,0,0.1866314271161065
40,1,1,0.2522295172554002
40,1,2,0.26031938302582636
40,1,3,0.12650853662626266
40,2,0,0.15266319017309377
40,2,1,0.21369436083097812
40,2,2,0.24424334887047947
40,2,3,0.04828889351157185
40,3,0,0.11238721656819999
40,3,1,0.1825420348039204
40,3,2,0.19755734621255114
40,3,3,0.008259704212491632
40,4,0,0.10996542942171476
40,4,1,0.16830907494321098
40,4,2,0.15012595043041327
40,4,3,0.0
40,5,0,0.10191653246813502
40,5,1,0.1296525360294216
40,5,2,0.1282603850024096
40,5,3,0.0
51,1,0,0.1258984595202399
51,1,1,0.17433598255752905
51,1,2,0.19926007166437187
51,1,3,0.05678073110652859
51,2,0,0.10290155748106161
51,2,1,0.14901573125347625
51,2,2,0.16922801788537603
51,2,3,0.005406351266413664
51,3,0,0.09170149929985681
51,3,1,0.12720802175247295
51,3,2,0.13083406589693372
51,3,3,8.405848576333393E-4
51,4,0,0.0742153463285363
51,4,1,0.10664500268625245
51,4,2,0.10985237467705385
51,4,3,0.0
51,5,0,0.05553495623310337
51,5,1,0.07363615113371005
51,5,2,0.07385979399274616
51,5,3,0.0
64,1,0,0.0791153801943727
64,1,1,0.12523237420598093
64,1,2,0.15531048299338815
64,1,3,0.016641979422380763
